"Continent","Year","Emissions_CO2","Proportion"
"Africa",1927,33840704,0.00846837185117663
"Africa",1928,34770320,0.00873897689749338
"Africa",1929,35801616,0.00838267106715804
"Africa",1930,33695670,0.0085552437120289
"Africa",1931,29463712,0.00837060247653059
"Africa",1932,26622752,0.00838914436686349
"Africa",1933,28491132,0.00852640340864463
"Africa",1934,32539280,0.00895352676742277
"Africa",1935,35909544,0.00941322196090514
"Africa",1936,39015950,0.0093216631109535
"Africa",1937,41844264,0.00935227685299781
"Africa",1938,44013164,0.0104621344039558
"Africa",1939,46852930,0.0105257979121638
"Africa",1940,49649184,0.010213053776891
"Africa",1941,54023456,0.0108681293753925
"Africa",1942,58822884,0.0118604427089318
"Africa",1943,60119628,0.0119244885681355
"Africa",1944,66632910,0.0130195577014573
"Africa",1945,67527180,0.01586211347755
"Africa",1946,68159370,0.0146701583602057
"Africa",1947,67934744,0.0132020256552462
"Africa",1948,71733140,0.0132228134037188
"Africa",1949,77323530,0.0149244251825809
"Africa",1950,94868000,0.0163544790984439
"Africa",1951,101125270,0.0162371939138963
"Africa",1952,110325210,0.0174812853384501
"Africa",1953,112007010,0.0172623923003945
"Africa",1954,117536136,0.0177371381121414
"Africa",1955,129402480,0.017832642785515
"Africa",1956,135106240,0.0174907691777148
"Africa",1957,141593100,0.0177846254378629
"Africa",1958,148670910,0.0181111894472414
"Africa",1959,147841220,0.0171099257410815
"Africa",1960,156567170,0.0171154437578247
"Africa",1961,161994320,0.01770322204177
"Africa",1962,166334880,0.0175589239212273
"Africa",1963,176334850,0.0176699654387968
"Africa",1964,193639330,0.018425390851169
"Africa",1965,213634380,0.0194474207566145
"Africa",1966,221082080,0.0192064584078174
"Africa",1967,237045170,0.0199854225440172
"Africa",1968,257384030,0.0205790714681404
"Africa",1969,277916000,0.0208249819491558
"Africa",1970,302623900,0.0209299499124162
"Africa",1971,331861400,0.0220685721748767
"Africa",1972,351871100,0.0223811274832332
"Africa",1973,378003360,0.0228312648924737
"Africa",1974,388389600,0.0235108172540774
"Africa",1975,387265120,0.0233273061983434
"Africa",1976,420141100,0.0239458642001007
"Africa",1977,433115100,0.0240025211710623
"Africa",1978,462487070,0.0248552841502929
"Africa",1979,499060700,0.0260678825304238
"Africa",1980,535678370,0.0281400886650727
"Africa",1981,548570700,0.0294851309319438
"Africa",1982,571727200,0.0309167848319418
"Africa",1983,594561000,0.0319178496914692
"Africa",1984,649325060,0.0336745262344139
"Africa",1985,665686400,0.0333876431533536
"Africa",1986,689698050,0.0341194022081584
"Africa",1987,689703300,0.0332888532285585
"Africa",1988,724696800,0.0336561571222587
"Africa",1989,697796860,0.0319880613673319
"Africa",1990,658281400,0.0296471915461137
"Africa",1991,687829100,0.0303198473993555
"Africa",1992,666901500,0.0302963062718807
"Africa",1993,706661500,0.0317740119942616
"Africa",1994,790281400,0.0352026524575232
